Life expectancy ,Adult Mortality,GDP,Income composition of resources,Status
71.4,145,1732.857979,0.644,1
71.4,167,2472.197831,0.65,1
71.4,192,296.54617,0.657,1
71.4,189,38.46578,0.66,1
71.4,23,3366.482133,0.662,1
71.4,162,2351.33814,0.665,1
71.4,154,1996.719689,0.674,1
71.4,176,2819.649531,0.692,1
71.4,178,9564.46383,0.722,1
71.4,22,4146.987928,0.77,0
71.5,169,6754.512393,0,1
71.5,168,1148.229882,0.632,1
71.5,165,2395.856551,0.653,1
71.5,177,3792.182152,0.673,1
71.5,175,875.412178,0.677,1
71.5,179,3957.51296,0.683,1
71.5,174,4623.347642,0.687,1
71.5,141,586.8364,0.747,1
71.6,169,1132.8721,0.561,1
71.6,135,3167.34356,0.591,1
71.6,145,1774.33673,0.653,1
71.6,135,4718.51291,0.668,1
71.6,16,2571.262348,0.671,1
71.6,189,2659.83918,0.674,1
71.6,158,263.27236,0.676,1
71.6,16,1764.97387,0.713,0
71.6,176,8818.982566,0.723,1
71.6,125,7189.691229,0.741,1
71.6,2,3297.35471,0.745,0
71.6,22,555.535669,0.78,0
71.6,24,676.966998,0.792,0
71.7,167,6764.722867,0,1
71.7,115,959.372181,0.583,1
71.7,134,3148.36513,0.596,1
71.7,187,3687.763767,0.614,1
71.7,166,1174.779347,0.642,1
71.7,194,357.347674,0.659,1
71.7,146,294.33556,0.663,1
71.7,189,2358.93629,0.666,1
71.7,142,779.3845935,0.677,1
71.7,133,1657.889256,0.7,1
71.7,165,3552.92452,0.733,0
71.7,193,4623.46712,0.761,0
71.7,23,7978.825443,0.796,1
71.8,129,691.997711,0,1
71.8,188,7578.85153,0,1
71.8,129,121.15812,0.575,1
71.8,134,248.13459,0.582,1
71.8,123,2884.94776,0.589,1
71.8,124,32.37239,0.597,1
71.8,163,2355.725857,0.656,1
71.8,157,1837.977391,0.674,1
71.8,172,359.587582,0.699,1
71.8,165,5695.969327,0.713,1
71.8,157,287.534843,0.723,0
71.8,183,216.681584,0.735,1
71.9,164,7322.596862,0,1
71.9,166,1157.3427,0.566,1
71.9,186,3923.573344,0.637,1
71.9,165,148.527976,0.639,1
71.9,155,1842.44421,0.679,1
71.9,168,5229.876738,0.696,1
71.9,131,1728.2659,0.706,1
71.9,123,7496.335728,0.742,1
71.9,162,4676.315183,0.745,0
71.9,138,8171.361651,0.748,1
71.9,194,694.243915,0.793,1
71.9,199,7174.237415,0.798,1
71.9,199,16348.53121,0.819,0
72,142,1948.812275,0.561,1
72,13,285.83414,0.598,1
72,142,622.7427477,0.639,1
72,18,154.68923,0.64,1
72,176,282.4242,0.651,1
72,191,3474.392445,0.662,1
72,197,3736.58713,0.666,1
72,132,64.72953,0.675,1
72,153,287.963899,0.677,1
72,153,229.714718,0.683,1
72,17,3623.47667,0.695,1
72,187,7663.1378,0.714,1
72,155,271.46824,0.729,0
72,232,6519.71753,0.787,1
72,198,159.9817,0.793,1
72,199,8318.429294,0.796,1
72,24,12297.91535,0.812,0
72.1,162,7946.944346,0,1
72.1,129,234.28992,0.596,1
72.1,163,157.145691,0.646,1
72.1,152,218.25997,0.686,1
72.1,168,5116.45424,0.704,1
72.1,174,5968.876767,0.706,1
72.1,129,1812.288374,0.712,1
72.1,186,8331.261997,0.712,1
72.1,185,8524.961236,0.713,1
72.1,186,1176.65871,0.715,1
72.1,16,3893.68998,0.745,0
72.2,165,1217.657961,0.571,1
72.2,11,153.1824,0.592,1
72.2,149,322.543121,0.682,1
72.2,151,2448.143899,0.685,1
72.2,151,2284.37858,0.693,1
72.2,185,1192.5174,0.712,1
72.2,185,1214.39987,0.728,1
72.2,185,12154.82994,0.733,1
72.2,157,3381.57837,0.738,0
72.2,184,11122.8627,0.739,1
72.2,121,7875.756953,0.745,1
72.2,161,4513.13628,0.75,0
72.2,134,9344.987518,0.752,1
72.2,192,11837.3913,0.825,0
72.3,116,2861.5545,0.596,1
72.3,126,3112.285712,0.602,1
72.3,161,189.71539,0.648,1
72.3,14,2598.9823,0.673,1
72.3,178,3836.468771,0.677,1
72.3,134,127.367228,0.694,1
72.3,15,2594.74999,0.694,1
72.3,127,1889.213962,0.717,1
72.3,172,254.489192,0.731,1
72.3,182,976.9566,0.739,1
72.3,185,527.85364,0.769,0
72.3,196,5949.11677,0.798,1
72.3,195,885.465115,0.805,1
72.4,158,7395.88125,0,1
72.4,124,3638.95946,0.615,1
72.4,124,3444.5566,0.621,1
72.4,15,2246.257472,0.659,1
72.4,142,1981.243653,0.677,1
72.4,129,7384.354661,0.681,1
72.4,148,2892.522663,0.695,1
72.4,149,445.17471,0.715,1
72.4,127,223.83787,0.73,1
72.4,18,184.68447,0.74,1
72.4,188,11984.86857,0.824,0
72.5,163,1311.741714,0.577,1
72.5,173,1344.31871,0.601,1
72.5,169,1518.85386,0.607,1
72.5,123,3312.825985,0.627,1
72.5,159,2312.192926,0.649,1
72.5,177,2893.651356,0.682,1
72.5,146,359.82223,0.688,1
72.5,146,2932.315883,0.698,1
72.5,147,37.846563,0.703,1
72.5,125,261.456882,0.723,1
72.5,119,7891.299776,0.752,1
72.5,157,5828.745662,0.755,0
72.5,132,1138.56661,0.756,1
72.5,184,665.6443,0.775,0
72.5,184,8396.25323,0.784,0
72.6,138,861.18596,0,1
72.6,154,7365.666659,0,1
72.6,136,1177.629268,0.588,1
72.6,122,367.429453,0.632,1
72.6,141,694.435119,0.644,1
72.6,134,783.261699,0.645,1
72.6,11,1175.788981,0.656,1
72.6,171,336.8742,0.682,1
72.6,144,259.192958,0.686,1
72.6,144,3453.487434,0.69,1
72.6,145,3392.64743,0.698,1
72.6,141,87.1365252,0.702,1
72.6,11,9126.954277,0.737,1
72.6,177,12189.9516,0.744,1
72.6,157,5932.899677,0.755,0
72.6,132,14396.4865,0.757,1
72.6,184,12219.37379,0.821,0
72.7,112,5334.93329,0,1
72.7,135,1258.421953,0.589,1
72.7,16,1148.5857,0.6,1
72.7,112,3432.247841,0.601,1
72.7,121,348.482762,0.636,1
72.7,157,359.992184,0.654,1
72.7,134,93.1661567,0.657,1
72.7,171,3394.878,0.68,1
72.7,132,928.18227,0.684,1
72.7,16,837.699787,0.686,1
72.7,163,477.182746,0.694,1
72.7,166,5451.6696,0.697,1
72.7,144,3915.11546,0.725,1
72.7,166,83.635,0.728,1
72.7,174,12845.17363,0.755,1
72.7,132,1296.97353,0.757,1
72.7,118,55.31382,0.758,1
72.8,161,1437.628785,0.583,1
72.8,135,1263.13455,0.596,1
72.8,11,2834.2472,0.603,1
72.8,12,3558.796314,0.643,1
72.8,148,274.249442,0.658,1
72.8,163,1451.29776,0.668,1
72.8,18,189.681557,0.674,1
72.8,126,834.869161,0.687,1
72.8,148,2754.7829,0.692,1
72.8,142,3547.59975,0.707,1
72.8,121,2537.349,0.733,1
72.8,166,7318.12641,0.734,1
72.8,17,8643.4944,0.742,1
72.8,132,1212.56217,0.755,1
72.8,189,1338.31322,0.812,1
72.8,18,11326.21947,0.815,0
72.8,18,14357.73679,0.826,0
72.9,112,2213.91488,0.646,1
72.9,136,31.122378,0.68,1
72.9,164,4647.31359,0.685,1
72.9,141,2158.299,0.692,1
72.9,134,8476.61511,0.705,1
72.9,14,445.18866,0.712,1
72.9,133,2149.9944,0.715,1
72.9,161,6574.654338,0.72,1
72.9,14,4167.364387,0.723,1
72.9,15,741.48438,0.741,1
72.9,15,8655.311531,0.745,1
72.9,155,7296.122479,0.761,0
72.9,172,15687.34795,0.762,1
72.9,154,8214.185378,0.766,0
72.9,18,1259.5266,0.793,0
72.9,182,11161.72441,0.795,0
73,144,1627.42893,0,1
73,11,5253.122599,0,1
73,187,5836.17763,0,1
73,14,835.789341,0.545,1
73,192,116.2743,0.562,1
73,152,1268.884564,0.562,1
73,193,143.6758,0.57,1
73,157,2393.367265,0.579,1
73,16,1592.572182,0.59,1
73,17,124.992617,0.597,1
73,134,1253.39143,0.599,1
73,24,248.4125,0.621,1
73,117,3529.61843,0.643,1
73,155,2599.596259,0.663,1
73,22,2372.628827,0.665,1
73,132,1191.96192,0.668,1
73,181,3827.786267,0.67,1
73,121,733.974142,0.673,1
73,184,3895.664491,0.675,1
73,137,1643.758397,0.679,1
73,17,2416.588235,0.681,1
73,168,3368.952576,0.686,1
73,167,3596.496282,0.69,1
73,139,3942.9827,0.693,1
73,161,586.145975,0.698,1
73,19,833.31332,0.7,1
73,14,3851.437869,0.708,1
73,134,2832.49652,0.715,1
73,138,451.542462,0.717,1
73,141,5574.6382,0.719,1
73,134,3331.228766,0.72,1
73,135,3528.1318,0.73,1
73,12,2762.86354,0.736,1
73,219,4132.34927,0.746,0
73,13,9567.458285,0.747,1
73,17,1557.77892,0.766,1
73,222,63.38877,0.78,1
73,225,14125.961,0.803,1
73,188,12595.4165,0.822,1
73,189,16586.452,0.829,1
73,176,14341.836,0.83,0
73,178,15712.82376,0.834,0
73.1,13,1288.642924,0.61,1
73.1,144,3386.256,0.658,1
73.1,147,379.78776,0.669,1
73.1,166,3465.221998,0.694,1
73.1,16,5759.643,0.703,1
73.1,135,1634.87561,0.709,1
73.1,138,4463.675893,0.724,1
73.1,119,3385.69665,0.739,1
73.1,146,7583.1872,0.744,1
73.1,12,11138.8746,0.754,1
73.1,11,13739.82945,0.761,1
73.1,159,1136.47356,0.78,0
73.1,158,822.18329,0.795,0
73.2,17,5436.595223,0,1
73.2,159,1751.595857,0.597,1
73.2,131,148.852738,0.61,1
73.2,163,1464.497754,0.613,1
73.2,154,1526.497938,0.614,1
73.2,11,2254.933126,0.654,1
73.2,152,3225.591754,0.664,1
73.2,124,979.49246,0.697,1
73.2,136,4234.554443,0.698,1
73.2,137,4266.557174,0.718,1
73.2,14,41.26997,0.721,1
73.2,137,4955.477743,0.731,1
73.2,133,276.588512,0.734,1
73.2,1,15334.66994,0.767,1
73.2,152,6955.987733,0.768,0
73.2,99,16472.1665,0.773,1
73.2,168,1539.464,0.781,1
73.2,95,1654.96761,0.786,1
73.2,96,18389.38433,0.786,1
73.3,136,199.583957,0,1
73.3,14,339.91616,0.612,1
73.3,114,2954.119467,0.646,1
73.3,15,1453.642777,0.67,1
73.3,181,3988.771871,0.676,1
73.3,165,3972.26475,0.687,1
73.3,165,3719.97351,0.689,1
73.3,161,511.37937,0.692,1
73.3,159,7313.557962,0.7,1
73.3,135,4192.349758,0.716,1
73.3,13,8629.11774,0.716,1
73.3,137,2993.832531,0.725,1
73.3,163,8.376432,0.74,1
73.3,127,11568.1111,0.741,1
73.3,118,3492.1396,0.742,1
73.3,144,7955.615985,0.746,1
73.3,98,237.83234,0.779,1
73.3,94,17789.41981,0.785,1
73.4,136,216.243274,0,1
73.4,157,1815.489496,0.603,1
73.4,16,3853.33348,0.617,1
73.4,158,193.741571,0.67,1
73.4,15,3988.11894,0.675,1
73.4,132,3464.6179,0.686,1
73.4,158,8787.61375,0.704,1
73.4,157,627.55544,0.709,1
73.4,135,5593.822995,0.734,1
73.4,117,3679.19275,0.739,1
73.4,125,11513.87189,0.75,1
73.4,147,6843.263289,0.77,0
73.4,97,1694.2931,0.787,1
73.4,93,2271.56961,0.788,1
73.4,153,8297.483621,0.797,0
73.4,177,11398.76584,0.802,0
73.4,169,16554.97139,0.841,0
73.5,134,2789.1735,0,1
73.5,15,5425.6697,0,1
73.5,11,158.668462,0.622,1
73.5,127,1577.457182,0.624,1
73.5,19,2346.5937,0.662,1
73.5,144,4674.21961,0.675,1
73.5,178,4127.11775,0.678,1
73.5,146,5433.7245,0.683,1
73.5,15,279.142931,0.685,1
73.5,162,4378.68746,0.7,1
73.5,121,185.68975,0.705,1
73.5,161,482.24762,0.706,1
73.5,132,3138.8873,0.707,1
73.5,133,493.775387,0.718,1
73.5,132,3218.381655,0.72,1
73.5,134,338.199535,0.74,1
73.5,143,8569.776998,0.749,1
73.5,123,11675.39395,0.749,1
73.5,91,26921.8278,0.791,1
73.5,176,13842.6549,0.809,0
73.6,156,9875.161736,0,1
73.6,156,1932.85829,0.606,1
73.6,99,294.746728,0.623,1
73.6,14,1326.97339,0.662,1
73.6,157,2183.966796,0.675,1
73.6,148,3855.537735,0.679,1
73.6,15,5148.422113,0.691,1
73.6,15,625.65544,0.695,1
73.6,157,4952.67753,0.695,1
73.6,131,4219.65123,0.7,1
73.6,154,6268.692122,0.712,1
73.6,157,8553.3847,0.714,1
73.6,127,969.8126,0.725,1
73.6,134,6222.982955,0.732,1
73.6,116,387.324145,0.737,1
73.6,133,4129.758741,0.739,1
73.6,133,3674.617924,0.746,1
73.6,158,9197.26972,0.748,1
73.6,142,9212.192824,0.751,1
73.6,89,42717.55725,0.787,1
73.6,9,3549.26132,0.789,1
73.6,169,1372.68947,0.81,0
73.6,165,14252.42853,0.846,0
73.7,13,5424.22356,0,1
73.7,123,1762.24617,0.636,1
73.7,17,2761.969249,0.667,1
73.7,149,873.1472436,0.699,1
73.7,16,4212.5492,0.706,1
73.7,14,522.493191,0.708,1
73.7,146,1644.816372,0.725,1
73.7,115,387.753211,0.735,1
73.7,133,7269.17114,0.736,1
73.7,121,1228.5447,0.753,1
73.7,144,7813.83499,0.775,0
73.7,153,4492.72764,0.777,0
73.7,89,45793.97614,0.787,1
73.7,94,19259.58726,0.792,1
73.8,154,9358.154162,0,1
73.8,121,258.3529,0.644,1
73.8,148,4479.95858,0.679,1
73.8,129,3935.183343,0.69,1
73.8,128,4178.973369,0.701,1
73.8,14,4166.93387,0.706,1
73.8,154,11224.1548,0.716,1
73.8,145,1448.7611,0.718,1
73.8,132,2964.47734,0.738,1
73.8,132,5458.121718,0.743,1
73.8,132,8513.629541,0.747,1
73.8,13,4383.59597,0.751,1
73.8,119,12868.8639,0.757,1
73.8,88,55571.9986,0.787,1
73.8,163,13822.8559,0.812,0
73.9,11,5339.441291,0,1
73.9,153,212.584798,0.611,1
73.9,157,1792.3845,0.625,1
73.9,157,1847.19849,0.63,1
73.9,99,1753.4178,0.634,1
73.9,97,3111.762887,0.634,1
73.9,147,4712.822736,0.688,1
73.9,146,989.4547732,0.697,1
73.9,138,428.87811,0.7,1
73.9,128,153.57521,0.703,1
73.9,118,936.499911,0.709,1
73.9,158,575.32176,0.711,1
73.9,126,1872.68416,0.714,1
73.9,152,6468.471648,0.718,1
73.9,128,3526.978143,0.729,1
73.9,128,3174.9491,0.735,1
73.9,114,3992.86717,0.737,1
73.9,127,3725.63221,0.742,1
73.9,154,9291.227619,0.756,1
73.9,117,14223.86576,0.761,1
73.9,139,7378.25539,0.778,0
73.9,87,37567.3121,0.788,1
73.9,92,2377.74739,0.804,1
74,182,5117.589923,0,1
74,153,9386.716452,0,1
74,143,4316.553895,0.641,1
74,148,3735.144836,0.643,1
74,15,3112.83529,0.673,1
74,146,419.367724,0.692,1
74,133,3611.2147,0.696,1
74,125,4149.363444,0.702,1
74,15,4313.1682,0.709,1
74,122,1129.28886,0.734,1
74,113,466.94775,0.737,1
74,132,671.773913,0.749,1
74,131,7326.744435,0.756,1
74,138,717.694674,0.771,1
74,179,16683.94578,0.772,1
74,86,38497.61696,0.79,1
74.1,151,2178.38325,0.614,1
74.1,96,3154.513484,0.64,1
74.1,126,495.254866,0.697,1
74.1,155,5491.159981,0.72,1
74.1,152,13167.47289,0.724,1
74.1,1,5372.65899,0.733,1
74.1,112,496.99275,0.741,1
74.1,131,5821.35397,0.754,1
74.1,131,971.356987,0.764,1
74.1,137,7669.273916,0.764,1
74.1,147,9637.265,0.765,1
74.1,115,15646.5591,0.766,1
74.1,137,333.4376,0.77,1
74.1,138,2579.193168,0.776,1
74.1,14,7674.86559,0.781,0
74.1,165,15669.25929,0.812,0
74.1,161,1532.22924,0.814,0
74.1,9,2533.9462,0.818,1
74.2,151,9739.82556,0,1
74.2,98,299.229676,0.646,1
74.2,14,3194.562243,0.683,1
74.2,151,321.942547,0.688,1
74.2,134,3171.49856,0.693,1
74.2,99,35.1293,0.696,1
74.2,144,7227.73968,0.7,1
74.2,138,1259.87591,0.712,1
74.2,148,462.517913,0.714,1
74.2,116,1672.5693,0.715,1
74.2,13,4142.869175,0.749,1
74.2,125,5957.145693,0.762,1
74.2,148,1153.93822,0.769,1
74.2,113,16462.48556,0.771,1
74.2,149,4981.198619,0.784,0
74.2,17,3371.26869,0.791,1
74.2,85,48268.5912,0.792,1
74.2,162,12967.16543,0.816,0
74.2,167,1894.5485,0.835,1
74.3,15,2136.77395,0.614,1
74.3,93,3488.493769,0.625,1
74.3,95,2847.285569,0.645,1
74.3,143,7884.984429,0.707,1
74.3,154,5859.915622,0.729,1
74.3,118,12376.97936,0.742,1
74.3,13,145.1262,0.774,1
74.3,138,7853.335191,0.787,0
74.3,84,51264.7134,0.794,1
74.3,139,92.277825,0.798,0
74.3,89,24934.38614,0.83,1
74.4,149,1352.8374,0,1
74.4,96,2695.366223,0.659,1
74.4,151,244.46898,0.679,1
74.4,148,278.557892,0.682,1
74.4,12,3371.71231,0.689,1
74.4,144,335.786541,0.693,1
74.4,123,3868.83123,0.705,1
74.4,145,83.5863,0.712,1
74.4,12,2492.12878,0.722,1
74.4,98,614.271115,0.731,1
74.4,121,3684.8481,0.732,1
74.4,123,3843.591213,0.736,1
74.4,128,5411.87744,0.755,1
74.4,129,3764.64912,0.768,1
74.4,111,1657.3228,0.775,1
74.4,138,8558.39766,0.797,0
74.4,16,188.44826,0.818,1
74.4,156,15725.1374,0.822,0
74.4,88,24575.434,0.841,1
74.5,149,2242.711912,0.618,1
74.5,147,1682.957924,0.62,1
74.5,148,1975.46477,0.636,1
74.5,97,3471.247547,0.672,1
74.5,145,492.492378,0.718,1
74.5,133,5771.565878,0.721,1
74.5,148,12291.46685,0.73,1
74.5,153,6171.262444,0.733,1
74.5,114,11341.13395,0.737,1
74.5,138,2819.511161,0.739,1
74.5,98,712.775759,0.74,1
74.5,141,322.992615,0.746,1
74.5,143,335.521375,0.752,1
74.5,128,4274.376857,0.755,1
74.5,125,4429.6575,0.759,1
74.5,129,1779.49641,0.776,1
74.5,92,13636.34668,0.786,1
74.5,145,5196.932921,0.79,0
74.5,137,6993.47736,0.792,0
74.5,83,48399.9581,0.796,1
74.5,14,3161.52935,0.798,1
74.5,156,1325.53379,0.817,0
74.5,88,2732.86172,0.845,1
74.6,116,1461.7552,0,1
74.6,147,11371.93895,0,1
74.6,147,2326.15856,0.623,1
74.6,12,3778.184171,0.695,1
74.6,139,4274.95265,0.698,1
74.6,144,7913.383432,0.72,1
74.6,152,5941.8471,0.737,1
74.6,12,3994.712355,0.739,1
74.6,142,361.289374,0.757,1
74.6,127,6423.291783,0.757,1
74.6,121,7325.73474,0.774,1
74.6,128,1882.27842,0.779,1
74.6,146,9252.11724,0.779,1
74.6,19,16523.32388,0.779,1
74.6,82,42996.4812,0.787,1
74.6,138,9585.266593,0.794,0
74.6,153,13666.58336,0.828,0
74.7,14,359.71886,0.696,1
74.7,12,431.9326,0.701,1
74.7,12,4129.977335,0.706,1
74.7,119,4463.394675,0.714,1
74.7,142,4293.383274,0.721,1
74.7,146,12216.9446,0.734,1
74.7,127,4919.62869,0.739,0
74.7,95,84.268878,0.746,1
74.7,115,1448.55,0.748,1
74.7,141,382.54994,0.76,1
74.7,122,785.881418,0.765,0
74.7,13,4251.574348,0.775,1
74.7,16,1595.91232,0.781,1
74.7,9,12868.211,0.794,1
74.7,142,5693.52416,0.796,0
74.7,81,28975.418,0.799,1
74.7,11,31311.35936,0.803,1
74.7,19,16468.12886,0.819,1
74.8,145,295.966488,0.642,1
74.8,129,672.92113,0.694,1
74.8,12,414.15177,0.71,1
74.8,13,4256.91279,0.714,1
74.8,143,644.525556,0.724,1
74.8,118,369.654776,0.741,1
74.8,144,1226.61731,0.747,1
74.8,112,1172.3843,0.75,1
74.8,124,653.71637,0.759,0
74.8,99,8161.4614,0.763,1
74.8,145,12724.39377,0.773,1
74.8,126,11183.96191,0.783,1
74.8,129,7193.61764,0.788,1
74.8,135,12.27733,0.797,0
74.8,95,16846.2198,0.82,1
74.8,15,1448.87958,0.821,0
74.9,113,1524.41222,0,1
74.9,93,3838.434292,0.682,1
74.9,13,4137.55421,0.717,1
74.9,13,4199.47253,0.72,1
74.9,116,5432.2523,0.724,1
74.9,129,6387.785281,0.725,1
74.9,148,5814.863134,0.738,1
74.9,126,5245.421419,0.749,0
74.9,94,8763.826274,0.752,1
74.9,113,1585.13226,0.753,1
74.9,98,846.632851,0.763,1
74.9,138,3844.89123,0.764,1
74.9,97,846.285153,0.766,1
74.9,126,5659.3824,0.767,1
74.9,127,576.883829,0.78,1
74.9,14,15534.1574,0.78,1
74.9,87,1312.33457,0.796,1
74.9,143,6681.178818,0.8,0
74.9,98,3323.52318,0.808,1
74.9,156,14726.31828,0.836,1
75,12,2968.41186,0,1
75,197,11.147277,0.577,1
75,192,2489.955836,0.578,1
75,153,2697.961375,0.582,1
75,88,4428.522898,0.622,1
75,175,1555.47451,0.645,1
75,211,362.951768,0.651,1
75,183,3739.11936,0.677,1
75,92,456.512487,0.691,1
75,126,731.378864,0.7,1
75,127,716.8219,0.703,1
75,134,4657.32361,0.703,1
75,127,6751.998987,0.708,1
75,138,4682.728424,0.721,1
75,24,3569.75727,0.734,1
75,142,8757.2622,0.754,1
75,93,8734.9653,0.758,1
75,93,8787.94668,0.763,1
75,144,14252.29452,0.781,1
75,117,6698.79439,0.785,1
75,123,9643.644683,0.787,1
75,144,821.251569,0.797,0
75,133,8958.788593,0.798,0
75,85,14221.99259,0.798,1
75,222,9329.298351,0.805,1
75,229,9667.9757,0.807,0
75,146,12834.32349,0.823,0
75.1,137,4255.56571,0.702,1
75.1,12,4271.68172,0.722,1
75.1,113,5564.82566,0.732,1
75.1,131,6871.897677,0.738,1
75.1,12,15384.8749,0.785,1
75.1,95,36161.1761,0.813,1
75.2,12,2214.732246,0,1
75.2,91,5633.79616,0.7,1
75.2,139,513.549487,0.722,1
75.2,123,6281.37747,0.742,1
75.2,19,12542.93565,0.754,1
75.2,19,2275.3536,0.765,1
75.2,116,1224.2459,0.777,0
75.2,127,5878.76127,0.782,1
75.2,142,1473.31923,0.786,1
75.2,11,15472.7814,0.792,1
75.2,144,94.7726,0.803,0
75.2,83,15846.47641,0.803,1
75.3,131,5223.351763,0.71,1
75.3,1,437.539647,0.713,1
75.3,126,7986.798439,0.719,1
75.3,1,3828.91589,0.723,1
75.3,138,521.33363,0.725,1
75.3,125,6583.116248,0.731,1
75.3,125,6491.5245,0.735,1
75.3,112,5471.866766,0.737,1
75.3,122,6353.826383,0.766,1
75.3,115,6682.281158,0.787,1
75.3,81,17959.17854,0.806,1
75.3,144,1126.31852,0.808,0
75.3,92,39439.8197,0.818,1
75.4,11,1761.537647,0,1
75.4,82,52.862285,0.632,1
75.4,16,418.292176,0.703,1
75.4,89,6337.882993,0.703,1
75.4,124,7199.59665,0.714,1
75.4,11,547.8517,0.741,1
75.4,124,488.768855,0.746,1
75.4,121,3622.52284,0.747,1
75.4,122,4117.38853,0.75,1
75.4,124,79.69746,0.76,1
75.4,123,62.173221,0.771,1
75.4,114,9365.742468,0.771,0
75.4,18,16784.34616,0.782,1
75.4,14,1312.46692,0.788,1
75.4,113,7318.742449,0.792,1
75.4,126,8953.359275,0.792,1
75.4,1,15359.66971,0.793,1
75.4,89,42372.22166,0.823,1
75.5,99,265.642661,0,1
75.5,127,572.14313,0.717,1
75.5,124,446.372833,0.721,1
75.5,126,4267.13578,0.728,1
75.5,123,63.343259,0.737,1
75.5,17,12127.22522,0.759,1
75.5,98,15557.8381,0.794,1
75.5,121,1276.265,0.802,1
75.5,79,1937.99549,0.81,1
75.5,14,141.44688,0.813,0
75.5,139,13613.6147,0.824,0
75.6,88,777.77594,0.713,1
75.6,136,56.144952,0.727,1
75.6,127,9689.52887,0.735,1
75.6,127,8959.581416,0.739,1
75.6,19,4132.76292,0.743,1
75.6,121,5237.255334,0.775,1
75.6,138,12126.87614,0.783,1
75.6,126,8161.36966,0.794,1
75.6,16,1928.74739,0.797,1
75.6,11,6586.71929,0.797,1
75.6,77,2977.1153,0.813,1
75.6,87,42672.61323,0.826,1
75.6,137,14638.6482,0.833,1
75.6,137,14117.97668,0.834,0
75.7,1,344.321698,0.697,1
75.7,121,46.29935,0.716,1
75.7,125,4126.14671,0.725,1
75.7,13,7748.12331,0.738,1
75.7,123,522.951116,0.753,1
75.7,136,11929.34991,0.782,1
75.7,12,12726.9836,0.816,1
75.7,136,11527.59323,0.818,0
75.8,86,7683.5238,0.723,1
75.8,125,8767.92258,0.723,1
75.8,133,4855.743789,0.727,1
75.8,123,4591.892776,0.733,1
75.8,122,4916.54886,0.74,1
75.8,16,1979.52569,0.764,1
75.8,114,13546.69872,0.793,0
75.8,15,2986.36,0.797,1
75.8,19,7186.429787,0.799,1
75.8,76,2367.56535,0.815,1
75.8,85,45758.9554,0.829,1
75.8,134,12365.6263,0.834,0
75.9,81,5828.621374,0.641,1
75.9,9,363.13685,0.703,1
75.9,134,12565.44197,0.778,1
75.9,113,11363.41845,0.783,0
75.9,17,7378.345289,0.803,1
75.9,12,12969.7712,0.822,1
76,198,115.565314,0.583,1
76,198,2635.753474,0.596,1
76,145,452.74948,0.646,1
76,174,1631.41727,0.653,1
76,147,6651.12242,0.656,1
76,172,335.112838,0.691,1
76,187,8318.97692,0.704,1
76,98,575.31664,0.71,1
76,121,674.9829,0.725,1
76,123,933.341687,0.731,1
76,121,6432.216537,0.737,1
76,176,1953.9767,0.774,1
76,216,7558.7426,0.791,0
76,14,22134.916,0.797,1
76,116,15893.8656,0.8,0
76,229,924.642548,0.807,0
76,74,19356.67236,0.814,1
76,122,1227.73677,0.818,0
76,119,12976.63642,0.823,1
76,89,18555.56649,0.823,1
76,84,3372.57517,0.831,1
76,1,32672.36717,0.84,1
76.1,97,4697.89732,0.716,1
76.1,91,4114.136545,0.721,1
76.1,85,869.211938,0.734,1
76.1,124,9834.472689,0.745,1
76.1,133,12224.86416,0.781,1
76.1,16,6461.192554,0.804,1
76.1,73,2722.1389,0.81,1
76.1,76,2281.1242,0.812,1
76.1,138,17454.84342,0.838,1
76.2,91,494.358832,0.725,1
76.2,125,4965.989857,0.729,1
76.2,118,625.62224,0.739,1
76.2,125,5348.518399,0.744,1
76.2,117,5877.87678,0.756,1
76.2,131,12888.29667,0.782,1
76.2,12,21268.7564,0.796,1
76.2,88,29986.2915,0.808,1
76.2,124,1479.29634,0.824,0
76.2,118,12245.25645,0.825,1
76.2,82,3549.14832,0.826,1
76.2,92,2612.13345,0.834,1
76.3,75,597.1659,0.651,1
76.3,123,982.532572,0.748,1
76.3,118,11938.212,0.777,1
76.3,19,14157.14416,0.803,0
76.3,87,2843.63635,0.809,1
76.3,13,12599.52486,0.822,0
76.3,81,4462.3129,0.824,1
76.3,116,13467.1236,0.826,1
76.3,93,398.96692,0.837,1
76.3,135,17421.8922,0.85,1
76.4,94,4611.47298,0.717,1
76.4,124,668.8667,0.743,1
76.4,119,962.312164,0.77,1
76.4,13,13566.9541,0.784,1
76.4,11,2458.45226,0.796,1
76.4,85,2999.65492,0.807,1
76.4,89,21896.6527,0.828,1
76.4,94,26241.91883,0.848,0
76.5,127,6973.9284,0.75,1
76.5,122,7937.259931,0.756,1
76.5,118,1592.6819,0.784,1
76.5,71,23649.36661,0.812,1
76.5,85,34176.98183,0.815,1
76.5,8,42112.23565,0.826,1
76.5,119,1488.47154,0.843,0
76.6,88,4437.17868,0.738,1
76.6,12,1298.86766,0.753,1
76.6,122,1452.27766,0.754,1
76.6,118,9415.17386,0.774,1
76.6,11,1152.39681,0.777,0
76.6,99,16627.36433,0.795,1
76.6,16,1355.74586,0.803,0
76.6,84,41818.35256,0.826,1
76.6,84,51488.49529,0.83,1
76.6,83,6256.55926,0.835,1
76.6,117,11814.9994,0.835,0
76.7,73,633.79498,0.653,1
